"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"гороскоп близнецы мужчина на сегодня",310,310,320,320,"Anywhere","",0,"",-29,"","","","","","","","","","40","70","50","70","90","70","90","90","110","140","140","140","","","","","","","","","","","","","","","","320","260","320","320","320","390","390","390","390","480","590","590","","","","480","480","390","390","390","480","390","480","480","480","480","590","","","","","","","","","","","","","","","","","","","","","","",590,590,480,590,720,720,720,720,720,880,880,880,1000,590,590,590,590,480,590,590,480,480,480,590,590,480,480,590,590,590,480,320,480,390,320,390,320,260,320,320,320,320,320,390,260,320,260,390
"гороскоп близнецы на 2022 год",20,20,40,70,"Anywhere","",0,"",400,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8100,2900,3600,3600,2900,2400,1900,1900,1600,1300,1000,720,210,70,50,50,30,10,20,10,10,20,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,20,30,50,140
"гороскоп близнецы на 2022 год по месяцам",,,,,"Anywhere","",,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2400,880,880,880,880,720,720,1000,880,720,590,390,110,40,30,20,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"гороскоп близнецы на 2023",10,10,10,10,"Anywhere","",,"",-67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,10,20,20,30,40,70,140,320,880,1300,1300,480,480,260,320,260,170,170,110,110,140,90,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0
"гороскоп близнецы на 2023 год",10,10,10,10,"Anywhere","",0,"",-33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30,20,50,90,90,110,140,390,590,1000,2400,5400,6600,1900,1900,1600,1300,1000,880,880,880,720,480,390,110,50,70,20,10,20,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10
"гороскоп близнецы на август 2022",10,10,10,10,"Anywhere","",,"",100,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,10,10,30,50,210,2400,2400,90,20,10,10,0,10,10,0,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,10,0,0,10,0
"гороскоп близнецы на апрель 2022",10,10,10,,"Anywhere","",,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20,210,2400,2400,70,20,10,10,10,10,10,10,10,10,20,10,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
"гороскоп близнецы на декабрь 2022",10,10,10,10,"Anywhere","",,"",-50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,0,10,10,10,10,40,110,260,2900,2900,70,20,10,10,10,0,10,10,10,10,20,20,10,10,0,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,10,0,0,10,0
"гороскоп близнецы на завтра",15900,15700,16400,18100,"Anywhere","3.57",0,"",-6,"","","","","","","","","","9900","9900","9900","9900","9900","12100","12100","12100","12100","12100","9900","9900","9900","12100","12100","14800","12100","12100","14800","12100","14800","14800","14800","14800","14800","14800","14800","18100","18100","18100","18100","18100","18100","14800","18100","18100","18100","22200","22200","18100","18100","22200","22200","18100","18100","18100","18100","18100","18100","22200","22200","22200","22200","22200","22200","18100","18100","18100","18100","18100","22200","22200","22200","27100","22200","22200","27100","22200","22200","22200","22200","22200","22200","22200","27100","",22200,18100,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800,14800,14800,14800,14800,18100,18100,18100
"гороскоп близнецы на завтра 2022",0,,,,"Anywhere","",,"",-100,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",70,70,90,90,170,140,320,720,880,880,1000,1000,260,170,90,30,30,40,20,10,10,10,10,20,10,0,0,10,10,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
"гороскоп близнецы на завтра любовный",210,200,170,180,"Anywhere","",0,"",-43,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",260,260,260,210,320,390,390,390,390,390,480,390,480,480,390,390,480,480,390,390,480,390,480,480,590,480,480,390,390,320,320,260,320,320,320,260,390,320,260,210,170,210,140,170,210,170,170,210
